Event,Date,Status,Tickets Sold,Tickets Available
OIT Carolinas Virtual Speaker Event,"Wednesday, July 6, 2022 7:00 PM",Past,2,148
OIT Chicago | Pride Picnic,"Sunday, July 10, 2022 2:00 PM",Past,76,1924
Blow My App Out  | Out in Tech NYC,"Tuesday, July 12, 2022 6:00 PM",Past,279,8
OIT UK | Investing in LGBTQ+ Entrepreneurs,"Wednesday, July 13, 2022 7:00 PM",Past,114,186
Out in Tech NYC x The Malin Summer Social,"Thursday, July 14, 2022 6:00 PM",Past,324,1
OIT Boston | I Know A HubSpot Summer Social,"Wednesday, July 20, 2022 6:00 PM",Past,81,19
OIT Denver | Summer Mini Hike &amp; Hangout,"Saturday, July 23, 2022 10:00 AM",Past,14,1986
#book-club: She Who Became the Sun,"Wednesday, July 27, 2022 8:00 PM",Past,32,68
Out in Tech NYC | Women &amp; TGNC Social at Adyen,"Thursday, August 4, 2022 6:00 PM",Past,196,4
OIT LA | Building Products &amp; Communities for Creatives,"Thursday, August 18, 2022 5:30 PM",Past,203,47
Out in Tech NYC x Elsewhere Summer Social,"Thursday, August 18, 2022 6:00 PM",Past,308,-8
OIT UK | 5th Birthday Party,"Wednesday, August 24, 2022 7:00 PM",Past,333,1667
Out in Tech Over-40 Committee | Summer Game Night,"Wednesday, August 24, 2022 8:00 PM",Past,44,256
OIT Philadelphia | Demos &amp; Drinks,"Thursday, August 25, 2022 6:00 PM",Past,32,18
Out in Tech | Career Talks ✨,"Friday, August 26, 2022 2:00 PM",Past,1310,1690
"OIT Chicago - Panel, Fostering Inclusion in the New Workplace","Tuesday, August 30, 2022 6:00 PM",Past,116,59
Out in Tech | AMA Lunch and Learn w/ Lambda Legal ☀️,"Wednesday, August 31, 2022 2:00 PM",Past,22,278
Out in Tech | Leadership Disability and Inclusivity Workshop,"Thursday, September 8, 2022 2:00 PM",Past,61,139
Queering The Future: Emerging Tech and Innovations,"Tuesday, September 13, 2022 4:00 PM",Past,173,4827
Queering The Future: Emerging Tech and Innovations,"Tuesday, September 13, 2022 4:00 PM",Past,1890,8110
OIT Carolinas | Last Sip of Summer,"Thursday, September 15, 2022 6:00 PM",Past,38,87
Out in Tech Melbourne Mixer,"Thursday, September 15, 2022 6:00 PM",Past,55,95
OIT Denver | End of Summer Mixer,"Sunday, September 18, 2022 11:00 AM",Past,22,1978
OIT Boston | Fall Social,"Wednesday, September 21, 2022 6:00 PM",Past,124,76
Out in Tech UK at Google | Inclusion in a Remote World,"Wednesday, September 21, 2022 7:00 PM",Past,323,0
Out in Tech #uiux: XHIBIT - Demos. Drinks. Happy Hour.,"Thursday, September 22, 2022 8:00 PM",Past,89,11
Out in Tech NYC | Women &amp; TGNC Social at Ginger's Bar,"Tuesday, September 27, 2022 6:00 PM",Past,123,77
OIT Atlanta | Pride Happy Hour with New Relic!,"Wednesday, October 5, 2022 5:00 PM",Past,51,0
OIT San Diego | Bi-Weekly Hangout at Pure Project,Repeating Event,Past,0,100
OIT SF | Fall Networking Event @ The Lookout,"Thursday, October 6, 2022 5:30 PM",Past,174,176
OIT Philly| Mixer @ Stir Lounge,"Thursday, October 6, 2022 6:00 PM",Past,38,22
OIT Seattle | Panel Discussion: Let’s Get Pivoting!,"Tuesday, October 11, 2022 7:00 PM",Past,62,58
Out in Tech U | Mentorship Fall 2022  Kickoff,"Tuesday, October 11, 2022 8:00 PM",Past,212,88
Out in Tech | Leadership Training Institute 2022,"Thursday, October 13, 2022 2:00 PM",Past,2549,2451
Out in Tech U &amp; LinkedIn | Power Up Your Profile,"Thursday, October 13, 2022 5:00 PM",Past,93,207
OIT Detroit | Virtual Kickoff,"Thursday, October 13, 2022 6:00 PM",Past,19,1981
"Out in Tech Comes to Columbia, SC","Wednesday, October 19, 2022 6:00 PM",Past,10,115
OIT Columbus | Meet &amp; Greet,"Thursday, October 20, 2022 5:00 PM",Past,34,16
Out in Tech #uiux: XHIBIT - Demos. Drinks. Happy Hour. (Oct),"Thursday, October 20, 2022 8:00 PM",Past,86,14
Copy of Copy for testing purposes,"Friday, October 21, 2022 3:30 PM",Past,5,0
Over-40 Speed Networking Event,"Wednesday, October 26, 2022 8:00 PM",Past,90,210
Out in Tech U | Play Games,"Thursday, October 27, 2022 8:00 PM",Past,56,244
Out in Tech U | Mentorship Fall 2022 Speed Networking,"Tuesday, November 1, 2022 8:00 PM",Past,9,291
OIT DFW | Kick Off Mixer,"Wednesday, November 2, 2022 6:30 PM",Past,38,62
Out in Tech U | Is a Coding Bootcamp Right for Me?,"Tuesday, November 8, 2022 8:00 PM",Past,53,247
OIT Boston | GARAGE PARTY Social,"Wednesday, November 9, 2022 6:00 PM",Past,125,75
Out in Tech Miami | WE'RE BACK! Social Mixer,"Thursday, November 10, 2022 6:00 PM",Past,135,15
"Author Talk | The Women's House of Detention, with Hugh Ryan","Thursday, November 10, 2022 8:00 PM",Past,24,126
Out in Tech | Career Talks ✨,"Tuesday, November 15, 2022 1:00 PM",Past,1160,1840
Putting the Pro in Product: How to Turbocharge Your Skills,"Wednesday, November 16, 2022 1:00 PM",Past,667,4333
Out in Tech Phoenix | Kick Off Social,"Wednesday, November 16, 2022 5:30 PM",Past,23,77
Out in Tech #uiux: XHIBIT - Demos. Drinks. Happy Hour. (Nov),"Thursday, November 17, 2022 8:00 PM",Past,95,5
OIT Toronto | Kick Off Mixer,"Wednesday, November 30, 2022 6:00 PM",Past,51,99
Out in Tech | Over 40 2022 Year-End Roundtable Event,"Wednesday, November 30, 2022 8:00 PM",Past,71,229
Out in Tech Sydney | Kick Off Social,"Thursday, December 1, 2022 5:30 PM",Past,31,69
OIT Cleveland | Kick Off Mixer,"Thursday, December 1, 2022 6:00 PM",Past,33,67
OIT Houston | Kick Off Mixer,"Thursday, December 1, 2022 6:00 PM",Past,37,113
Out in Tech and Google Cloud Present: Queer Perspectives on Inclusive Data,"Thursday, December 1, 2022 7:00 PM",Past,997,52
OIT San Diego | Pivot into Tech Panel,"Friday, December 2, 2022 11:00 AM",Past,31,89
OIT Indianapolis | Holiday Mixer,"Wednesday, December 7, 2022 6:30 PM",Past,17,83
Out in Tech U Fall 2022 US Mentorship Program - Graduation,"Thursday, December 8, 2022 8:00 PM",Past,7,293
Out in Tech ATX | Holigays Happy Hour,"Wednesday, December 14, 2022 5:30 PM",Past,78,122
OIT Boston | Holiday Social at John Hancock,"Wednesday, December 14, 2022 6:00 PM",Past,136,164
Tinder x OIT: Ugly Sweater Holiday Happy Hour,"Wednesday, December 14, 2022 6:00 PM",Past,254,6
Out in Tech NYC x Elsewhere Holiday Social,"Wednesday, December 14, 2022 6:00 PM",Past,292,8
Detroit Out in Tech Holiday Mixer,"Wednesday, December 14, 2022 6:00 PM",Past,8,142
OIT Seattle | 2022 Holiday Party: Not like all the Otters,"Wednesday, December 14, 2022 7:00 PM",Past,64,1
Out in Tech Atlanta Year-End Winter Social,"Thursday, December 15, 2022 7:00 PM",Past,71,9
Out in Tech #uiux: XHIBIT - Demos. Drinks. Happy Hour. (Dec),"Thursday, December 15, 2022 8:00 PM",Past,68,32
Out in Tech #uiux: XHIBIT - Demos. Drinks. Happy Hour. (Jan 2023),"Thursday, January 19, 2023 8:00 PM",Past,77,23
"OIT Seattle | Cool Skate, Hot Cocoa","Saturday, January 21, 2023 1:00 PM",Past,24,36
OIT Boston | Panel Discussion: Ethical AI for the LGBTQ+ Community,"Wednesday, January 25, 2023 6:00 PM",Past,138,112
Out in Tech x Miami Hack Week Mixer,"Tuesday, January 31, 2023 6:00 PM",Past,229,21
Out in Tech Carolinas | Tech Workforce Development for LGBTQ+ Folks,"Wednesday, February 1, 2023 6:00 PM",Past,19,181
Out in Tech | Over 40 Networking for the New Year Event,"Wednesday, February 1, 2023 8:00 PM",Past,106,194
Out in Tech | Career Talks ✨,"Wednesday, February 8, 2023 1:00 PM",Past,1759,1241
OIT Chicago Virtual Game Night,"Wednesday, February 8, 2023 6:00 PM",Past,50,1950
Out in Tech Sydney | Social Mixer,"Friday, February 10, 2023 6:00 PM",Past,19,1981
Out in Tech ATL February Social @ Fire Maker,"Wednesday, February 15, 2023 7:00 PM",Past,50,10
Queer Women of Color: Paths to Power,"Thursday, February 16, 2023 3:00 PM",Past,1334,1166
Out in Tech #uiux: XHIBIT - Demos. Drinks. Happy Hour. (Feb 2023),"Thursday, February 16, 2023 8:00 PM",Past,102,18
OIT Toronto | February Meetup!,"Tuesday, February 21, 2023 6:00 PM",Past,40,60
Out in Tech | Durham Kick Off Networking Event,"Wednesday, February 22, 2023 6:00 PM",Past,54,46
Out in Tech Chicago 5 Year Anniversary Party,"Wednesday, February 22, 2023 6:00 PM",Past,212,3
"OIT Seattle |  Women, Transgender, &amp; Nonbinary Folx Happy Hour","Wednesday, February 22, 2023 6:00 PM",Past,31,19
Pride Exchange Test,"Thursday, February 23, 2023 3:30 PM",Past,2,1998
Out in Tech Phoenix Social,"Saturday, February 25, 2023 2:30 PM",Past,33,17
Out In Tech Boston | Pride Idea Exchange,"Tuesday, February 28, 2023 6:00 PM",Past,66,1934
Author Talk w/ Lauren Maffeo: Designing Data Governance from the Ground Up,"Wednesday, March 1, 2023 8:00 PM",Past,38,62
Out in Tech PDX | March Mixer,"Tuesday, March 7, 2023 6:00 PM",Past,85,220
OIT Indianapolis March Mixer,"Wednesday, March 8, 2023 6:30 PM",Past,9,1991
Detroit Tech Thursdays l Monthly Mixer,"Thursday, March 9, 2023 6:30 PM",Past,12,138
OIT San Diego | Miner's Ridge Loop Hike,"Sunday, March 12, 2023 10:00 AM",Past,16,19
2023 OIT Leadership Summit,"Thursday, March 16, 2023 12:00 PM",Past,75,445
Out in Tech | We're Tech-nically Dating with Peoplehood,"Thursday, March 16, 2023 6:00 PM",Past,0,210
Out in Tech NYC | Women &amp; TGNC Social at Ginger's Bar,"Tuesday, March 21, 2023 6:00 PM",Past,234,66
Out in Tech ATX | March Mixer,"Tuesday, March 21, 2023 7:00 PM",Past,127,73
OIT Seattle | Drag Bingo Night,"Tuesday, March 21, 2023 7:15 PM",Past,44,6
Out in Tech Melbourne | Fireside Chat (Date change!),"Wednesday, March 22, 2023 6:00 PM",Past,40,160
Out in Tech #uiux: XHIBIT - Demos. Drinks. Happy Hour. (Mar 2023),"Thursday, March 23, 2023 8:00 PM",Past,133,-8
OIT Denver | 2023 Kick-off Mixer,"Tuesday, March 28, 2023 6:00 PM",Past,86,14
OIT Over 40 Virtual Game Night,"Thursday, March 30, 2023 5:00 PM",Past,47,1953
OIT Cleveland | March Mixer,"Thursday, March 30, 2023 6:00 PM",Past,29,71
Out in Tech DC 5 Year Anniversary Celebration!,"Thursday, March 30, 2023 6:30 PM",Past,250,0
OIT Boston  | Synopsys Spring Social,"Thursday, March 30, 2023 6:30 PM",Past,45,1955
Out in Tech PDX | April Monthly Mixer,"Wednesday, April 5, 2023 6:00 PM",Past,76,234
Out in Tech | We're Tech-nically Dating with Peoplehood,"Thursday, April 6, 2023 6:00 PM",Past,246,84
"OIT Seattle | April  Women, Transgender, &amp; Nonbinary Happy Hour","Tuesday, April 11, 2023 6:00 PM",Past,66,9
OIT Indianapolis | April Mixer,"Wednesday, April 12, 2023 6:00 PM",Past,17,83
Out in Tech Columbus | April Virtual Meet Up,"Thursday, April 13, 2023 6:00 PM",Past,21,29
Detroit Tech Thursdays l Monthly Mixer,"Thursday, April 13, 2023 6:30 PM",Past,12,138
Out in Tech ATX | April Mixer,"Tuesday, April 18, 2023 7:00 PM",Past,149,51
OIT Boston | April Showers Bring Gay Flowers Social,"Wednesday, April 19, 2023 6:00 PM",Past,167,13
OIT DFW Q1 Mixer,"Wednesday, April 19, 2023 6:30 PM",Past,69,6
OIT Houston | Path to Belonging: Building an Effective DEIB Program-Virtual,"Thursday, April 20, 2023 1:00 PM",Past,64,236
Out in Tech #uiux: XHIBIT - Demos. Drinks. Happy Hour. (Apr 2023),"Thursday, April 20, 2023 8:00 PM",Past,101,24
Out in Tech | Career Talks ✨,"Friday, April 21, 2023 1:00 PM",Past,1596,1404
OIT Seattle | Post-Brunch Board Games,"Sunday, April 23, 2023 1:00 PM",Past,42,33
"Out in Tech x Upstate LGBT Chamber | Networking event in Greenville, SC","Monday, April 24, 2023 6:00 PM",Past,27,73
Building Wealth Through a Queer Lens,"Tuesday, April 25, 2023 4:00 PM",Past,1850,650
OIT Denver | April Happy Hour @ Goldspot Brewing,"Tuesday, April 25, 2023 6:00 PM",Past,32,1968
Out in Tech - Bunny Hopping: Virtual Speed Networking,"Wednesday, April 26, 2023 8:00 PM",Past,109,16
Out in Tech U | An Evening With... Fintech Professionals,"Thursday, April 27, 2023 5:00 PM",Past,1,299
Adobe &amp; Out in Tech: Get Back to Werk,"Thursday, April 27, 2023 5:30 PM",Past,67,3
Out in Tech Atlanta Sun-sational Social,"Thursday, April 27, 2023 6:30 PM",Past,64,16
Out in Tech LA | Queer Womxn in Tech Networking,"Thursday, April 27, 2023 7:00 PM",Past,84,41
Out in Tech Trans &amp; Non-Binary Committee | Fun &amp; Games Virtual Social,"Thursday, April 27, 2023 9:00 PM",Past,154,1846
Out in Tech PDX | May Mixer,"Wednesday, May 3, 2023 6:00 PM",Past,78,232
Out in Tech NYC | Women &amp; TGX Social at Henrietta Hudson with Open Finance,"Thursday, May 4, 2023 6:30 PM",Past,213,87
OIT Philadelphia | Philly Tech Week Mixer,"Monday, May 8, 2023 6:30 PM",Past,139,11
UX Night | Mindfulness as a QTBIPOC Creative,"Tuesday, May 9, 2023 7:00 PM",Past,267,1733
Out in Tech San Francisco | Spring Happy Hour @ The Lookout,"Wednesday, May 10, 2023 5:30 PM",Past,260,40
"OIT Seattle | May Women, Transgender, &amp; Nonbinary Happy Hour","Wednesday, May 10, 2023 5:30 PM",Past,40,60
Out in Tech Ireland | Virtual Speed Networking,"Thursday, May 11, 2023 1:00 PM",Past,27,1973
Out in Tech LA | Mental Health Matters x GoodRx,"Thursday, May 11, 2023 6:00 PM",Past,159,41
Out in Tech Detroit l  May Monthly Mixer,"Thursday, May 11, 2023 6:30 PM",Past,14,26
Over-40 Film Fest,"Tuesday, May 16, 2023 5:00 PM",Past,87,163
Out in Tech DC | An Evening with AI,"Tuesday, May 16, 2023 6:30 PM",Past,148,102
Out in Tech Austin | May Mixer,"Tuesday, May 16, 2023 7:00 PM",Past,89,111
Out in Tech NYC x Ash Wellness Spring Social,"Wednesday, May 17, 2023 6:30 PM",Past,254,-4
Out in Tech UI/UX: XHIBIT - Demos. Drinks. Happy Hour. (May 2023),"Thursday, May 18, 2023 8:00 PM",Past,89,36
"Sweetbee x Out in Tech NYC  HH | LGBTQ+ (Let's Get Buzzy Together, Queens+)","Friday, May 19, 2023 6:00 PM",Past,53,-2
OIT Indianapolis | May Social,"Saturday, May 20, 2023 2:00 PM",Past,10,90
OIT Toronto | May Meetup!,"Wednesday, May 24, 2023 6:00 PM",Past,32,168
Out in Tech Houston | Virtual Meet-Up,Repeating Event,Past,0,150
Out in Tech #Talent-Acquisition: Virtual Happy Hour,"Wednesday, May 24, 2023 8:00 PM",Past,92,33
Out in Tech QTBIPOC | Sips &amp; Socialize: A Community Gathering,"Thursday, May 25, 2023 5:00 PM",Past,92,1908
Cleo's x Out In Tech | Get Knit with Us,"Thursday, May 25, 2023 6:00 PM",Past,14,0
OIT Seattle | Welcome Summer Picnic,"Friday, May 26, 2023 3:00 PM",Past,91,9
OIT Denver | May Happy Hour @ Town Hall Collaborative,"Tuesday, May 30, 2023 6:00 PM",Past,68,1932
Out in Tech Indianapolis | May Virtual Meet Up,"Wednesday, May 31, 2023 6:00 PM",Past,12,38
Out in Tech Pride,"Thursday, June 1, 2023 4:00 PM",Past,1745,755
Out In Tech | Columbus presents Pride Watch Party hosted by Upstart,"Thursday, June 1, 2023 4:00 PM",Past,15,15
OIT Seattle | Pride Kickoff Happy Hour,"Thursday, June 1, 2023 5:00 PM",Past,97,203
Out in Tech Phoenix | Intro to Object Oriented UX Virtual Workshop,"Friday, June 2, 2023 12:00 PM",Past,96,1904
OIT Tulsa | Pride Party at Aaru Entertainment,"Friday, June 2, 2023 5:30 PM",Past,38,12
OIT San Diego | Cowles Mountain Pride Month Hike,"Saturday, June 3, 2023 10:00 AM",Past,7,28
OIT NYC | Women &amp; TGX Social: Ultimatum Queer Love Finale Watch Party,"Wednesday, June 7, 2023 6:00 PM",Past,153,87
OIT PDX | June Mixer,"Wednesday, June 7, 2023 6:00 PM",Past,50,1960
Out in Tech Detroit l Pride Monthly Mixer,"Thursday, June 8, 2023 6:30 PM",Past,40,10
Out in Tech Houston | June Mixer: Pride Edition,"Thursday, June 8, 2023 6:30 PM",Past,36,164
OIT DFW June Mixer + Fluid Fridays,"Friday, June 9, 2023 6:30 PM",Past,24,76
Out in Tech San Francisco | Pride Mixer &amp; Panel @ Equinix,"Wednesday, June 14, 2023 4:00 PM",Past,60,0
"Out in Tech Seattle | June Women, Transgender, &amp; Nonbinary Happy Hour","Wednesday, June 14, 2023 5:30 PM",Past,21,79
Out in Tech Indianapolis | June Crafts &amp; Social,"Wednesday, June 14, 2023 6:30 PM",Past,24,6
Out in Tech Boston | Pride Mixer,"Thursday, June 15, 2023 6:00 PM",Past,250,0
Out in Tech Charleston | Mixer @ Digital Corridor,"Thursday, June 15, 2023 6:00 PM",Past,33,16
Out in Tech Melbourne | AI Uncovered (with Deep Tech Melbourne),"Thursday, June 15, 2023 6:00 PM",Past,73,7
Out in Tech UI/UX | Pride Party (Virtual),"Thursday, June 15, 2023 8:00 PM",Past,80,45
Out in Tech ATL | Juneteenth + Pride Farmers Market Takeover,"Sunday, June 18, 2023 10:00 AM",Past,33,47
Out in Tech ATX | June Mixer,"Tuesday, June 20, 2023 7:00 PM",Past,97,103
Out in Tech  NY | NOT LOOKING: THE SERIES Screening,"Wednesday, June 21, 2023 5:00 PM",Past,150,0
Out in Tech Charlotte | Monthly Mixer,"Wednesday, June 21, 2023 6:30 PM",Past,21,179
Out in Tech London | Relaunch Social @ SoHo Residence,"Wednesday, June 21, 2023 7:00 PM",Past,279,171
Out in Tech Philadelphia | Pride Night Fireside Chat,"Thursday, June 22, 2023 5:00 PM",Past,71,9
Out in Tech Denver | An Empowered You,"Thursday, June 22, 2023 5:30 PM",Past,26,124
Out in Tech Ireland | LGBTQ+ 101: Allyship in the Workplace,"Thursday, June 22, 2023 7:00 PM",Past,18,482
Out in Tech ATX | Queer in Tech Lunch + Learn Panel,"Friday, June 23, 2023 11:30 AM",Past,74,86
Out in Tech Chicago | Chicago Pride Parade,"Sunday, June 25, 2023 11:00 AM",Past,69,6
Out in Tech ATX | Trans Joy = Resistance,"Tuesday, June 27, 2023 6:00 PM",Past,73,77
Out in Tech Denver | June Happy Hour @ Town Hall Collaborative,"Tuesday, June 27, 2023 6:00 PM",Past,32,1968
Out in Tech TGX | A Virtual Panel on Trans Joy,"Tuesday, June 27, 2023 8:00 PM",Past,60,2440
Out in Tech San Francisco | Virtual Bay Area Mixer,"Wednesday, June 28, 2023 5:00 PM",Past,74,51
Out in Tech NY | Pride in Tech,"Wednesday, June 28, 2023 5:30 PM",Past,346,154
Out in Tech Phoenix | Pride Mixer,"Wednesday, June 28, 2023 6:00 PM",Past,36,14
Celebrating Queer Creatives: Our Presence in Tech &amp; Creative Industries,"Wednesday, June 28, 2023 6:00 PM",Past,31,169
Out in Tech Boston | Drag me to Analog Devices,"Wednesday, June 28, 2023 6:30 PM",Past,131,119
Out in Tech San Francisco | PRIDE Rooftop Social @,"Thursday, June 29, 2023 4:00 PM",Past,330,-30
Out in Tech LA | Pride Social at Or Bar,"Thursday, June 29, 2023 7:00 PM",Past,150,0
Out in Tech | Your Emergency Contact Has Experienced an Emergency,"Thursday, June 29, 2023 8:00 PM",Past,28,72
"Out in Tech San Francisco | Social @ The Academy, LGBTQ Social Club","Thursday, July 6, 2023 6:15 PM",Past,182,0
"Out in Tech Seattle | July Women, Transgender, &amp; Nonbinary Happy Hour","Wednesday, July 12, 2023 5:30 PM",Past,37,63
Out in Tech PDX | July Mixer,"Wednesday, July 12, 2023 6:00 PM",Past,71,139
Out in Tech Detroit l  July Monthly Mixer,"Thursday, July 13, 2023 6:30 PM",Past,34,6
Out in Tech ATX | July Mixer,"Tuesday, July 18, 2023 7:00 PM",Past,83,117
Out in Tech Boston X PA Consulting Networking Mixer,"Wednesday, July 19, 2023 6:00 PM",Past,151,59
Out in Tech NYC | Women &amp; TGX Speed Friending Social at Ginger's Bar,"Wednesday, July 19, 2023 6:30 PM",Past,140,160
Out in Tech Denver | Aug Happy Hour @ Town Hall Collaborative,"Tuesday, August 1, 2023 6:00 PM",Past,7,1993
Out in Tech PDX | August Mixer 08.02.23,"Wednesday, August 2, 2023 6:00 PM",Past,28,178
Out in Tech London | Engaging Your ERG Fireside Chat,"Wednesday, August 2, 2023 7:00 PM",Past,206,394
Out in Tech Miami | Relaunch Mixer,"Thursday, August 3, 2023 6:30 PM",Past,105,-5
Out in Tech Amsterdam I Pride Social 2023,"Friday, August 4, 2023 6:00 PM",Past,147,103
Out in Tech Seattle | OIT OL Reign Day Drink &amp; Game!,"Sunday, August 6, 2023 1:00 PM",Past,15,35
Out in Tech Atlanta | Thriving After Layoffs: Job Interview Workshop,"Tuesday, August 8, 2023 5:00 PM",Past,96,54
"Out in Tech Seattle | August Women, Transgender, &amp; Nonbinary Happy Hour","Wednesday, August 9, 2023 5:30 PM",Past,25,75
Out in Tech NY | Cleo's x Out In Tech | Learn to Crochet!,"Thursday, August 10, 2023 6:00 PM",Past,0,14
Out in Tech Detroit l  August Monthly Mixer,"Thursday, August 10, 2023 6:30 PM",Past,10,30
Out in Tech ATX | August Mixer,"Tuesday, August 15, 2023 7:00 PM",Past,102,98
Out in Tech Indianapolis | August Happy Hour,"Wednesday, August 16, 2023 6:00 PM",Past,17,3
"Out in Tech Charlotte | Pride Mixer, Sponsored by Bank of America","Thursday, August 17, 2023 5:00 PM",Past,91,9
Out in Tech Columbus | Summer Virtual Happy Hour,"Wednesday, August 23, 2023 6:00 PM",Past,19,31
Out in Tech San Francisco | Open Mic Comedy Night,"Thursday, August 24, 2023 5:00 PM",Past,135,165
Out in Tech Tulsa | Summer Mixer,"Thursday, August 24, 2023 6:00 PM",Past,17,83
Out in Tech Dallas-Forth Worth | August Mixer,"Thursday, August 24, 2023 6:30 PM",Past,71,29
#book-club: I Am The Most Dangerous Thing,"Tuesday, August 29, 2023 8:00 PM",Past,21,79
Out in Tech | Career Talks ✨,"Wednesday, August 30, 2023 1:00 PM",Past,2077,923
Out in Tech LA | Womxn in Tech @ The Ruby Fruit,"Thursday, August 31, 2023 6:00 PM",Past,110,20
Out in Tech PDX | September Mixer,"Wednesday, September 6, 2023 6:00 PM",Past,50,150
Out in Tech Columbus | Let's Work Together!,"Thursday, September 7, 2023 9:00 AM",Past,6,44
Out in Tech San Francisco (East Bay) | Happy Hour @ Club 1220,"Tuesday, September 12, 2023 5:00 PM",Past,71,29
Out In Tech New York | Young Leaders Program Social,"Tuesday, September 12, 2023 7:00 PM",Past,246,54
"Out in Tech | The Rainbow Age of Fashion, Gaming, Media &amp; Entertainment","Wednesday, September 13, 2023 2:00 PM",Past,1047,1453
"Out in Tech Seattle | September Women, Transgender, &amp; Nonbinary Happy Hour","Wednesday, September 13, 2023 5:30 PM",Past,40,60
Out in Tech Phoenix Mixer,"Wednesday, September 13, 2023 6:00 PM",Past,39,21
Out in Tech NY | Cleo's x Out In Tech | Crochet you stay!,"Thursday, September 14, 2023 6:00 PM",Past,20,0
Out in Tech Columbus | A Queer Karaoke Party,"Friday, September 15, 2023 9:00 PM",Past,16,134
Out in Tech ATX | September Mixer,"Tuesday, September 19, 2023 7:00 PM",Past,66,134
Out in Tech Over-40 Fall Speed Networking Event,"Tuesday, September 19, 2023 8:00 PM",Past,137,63
Out in Tech DC | Health Tech: The Future Is Now,"Wednesday, September 20, 2023 6:30 PM",Past,59,191
Out in Tech Melbourne | Spring Social Mixer,"Thursday, September 21, 2023 6:00 PM",Past,7,53
Out in Tech Boston | Gecko Robotics Disco Social,"Thursday, September 21, 2023 6:00 PM",Past,120,60
Out in Tech Detroit l  September Monthly Mixer,"Thursday, September 21, 2023 6:30 PM",Past,10,30
Out in Tech Atlanta | ATL Pride Prep Party,"Thursday, September 21, 2023 6:30 PM",Past,41,34
OIT Third Thursday,"Thursday, September 21, 2023 7:00 PM",Past,15,585
Out in Tech QTBIPOC | See Ya Summer + Hey Autumn! Virtual QTBIPOC Cookout,"Tuesday, September 26, 2023 4:30 PM",Past,63,37
Out in Tech San Diego | Torrey Pines Sunset Hike,"Wednesday, September 27, 2023 6:00 PM",Past,23,577
Out in Tech ATX | IBM: AI and the Future Career Ladder,"Thursday, September 28, 2023 6:30 PM",Past,63,87
Out in Tech NYC | Women &amp; TGX Drag King  Show Social at Frankie's Pub,"Thursday, September 28, 2023 7:00 PM",Past,112,188
An Evening with Bloomberg x Out in Tech,"Friday, September 29, 2023 5:30 PM",Past,108,12
Out in Tech UIUX | Over the Rainbow - UX Research Showcase 2023,"Thursday, October 5, 2023 5:00 PM",Past,187,813
Out in Tech Charlotte | CCI Cinema,"Wednesday, October 11, 2023 5:30 PM",Past,8,92
Out in Tech | Leadership Training Institute,"Thursday, October 12, 2023 2:00 PM",Past,1360,3640
Out in Tech DFW Presents: Stereotypes Don't Define Me,"Thursday, October 12, 2023 6:00 PM",Past,53,447
Out in Tech PDX | October Mixer 10.12.23,"Thursday, October 12, 2023 6:00 PM",Past,63,137
Out in Tech Houston | Hispanic Heritage Month Mixer,"Thursday, October 12, 2023 7:00 PM",Past,26,174
Out in Tech Indianapolis | Tech Info Fair,"Tuesday, October 17, 2023 5:00 PM",Past,73,7
Out in Tech ATX | October Mixer,"Tuesday, October 17, 2023 7:00 PM",Past,36,164
Out in Tech UIUX | Fostering Long-Term Mentorships,"Wednesday, October 18, 2023 5:00 PM",Past,104,896
Out in Tech |  Boston October Celebrations with John Hancock,"Wednesday, October 18, 2023 6:00 PM",Past,164,36
Out in Tech LA x Amazon | LGBTQ+ in Entertainment Panel Discussion,"Thursday, October 19, 2023 6:00 PM",Past,241,9
Out in Tech Detroit: Pumpkin Spice Up Your Profile with LinkedIn,"Thursday, October 19, 2023 6:00 PM",Past,28,22
Out in Tech Seattle | Pivot into Tech: A Discussion Panel,"Thursday, October 19, 2023 6:30 PM",Past,48,202
Out in Tech Charlotte | OIT Third Thursdays,"Thursday, October 19, 2023 7:00 PM",Past,16,279
Out in Tech New York | Fall Leaf Hike at Brooklyn Botanic Garden,"Sunday, October 22, 2023 1:00 PM",Past,77,23
Out in Tech New York  | Women &amp; TGX Game Night,"Monday, October 23, 2023 6:30 PM",Past,48,52
Out in Tech Denver | October Happy Hour  @ Town Hall Collaborative,"Tuesday, October 24, 2023 6:00 PM",Past,77,523
Out in Tech Philly | Halloween Craft &amp; Movie Night,"Tuesday, October 24, 2023 6:30 PM",Past,34,266
"Out in Tech SF Bay Area | Women, TGX, &amp; Nonbinary Happy Hour @ El Rio","Wednesday, October 25, 2023 5:00 PM",Past,79,221
Out in Tech Phoenix | Spooktacular Soiree,"Wednesday, October 25, 2023 6:00 PM",Past,36,24
Black History Month: Celebrating Black LGBTQ+ Talent in Tech,"Wednesday, October 25, 2023 6:00 PM",Past,267,2433
Out in Tech Ireland | Launch Party,"Thursday, October 26, 2023 7:00 PM",Past,70,130
Out in Tech NY | Scream Queens: Halloween Social,"Thursday, October 26, 2023 7:00 PM",Past,117,183
Out in Tech Cleveland | Volunteer with OIT Cleveland at the Kids' Book Bank,"Saturday, October 28, 2023 1:00 PM",Past,8,12
Out in Tech | Career Talks ✨,"Thursday, November 2, 2023 1:00 PM",Past,1172,1828
